Index,Question,Tag,Comment,Score,Summ,Name
1,"Рассказать про проект УПЭ (цели, задачи...)",Общие вопросы,В целом ответ верный. Необходимо дополнительно,1,0,
2,"Рассказать про проект АИС НИОКР (цели, задачи...)",Общие вопросы,В целом ответ верный,1,"19,2",Соискатель
3,Что такое SCRUM?,Общие вопросы,Ответ верный,1,"24,75",Планка
4,Рассказать про интегрированную среду совместной разработки (space),Общие вопросы,Соискатель не ознакомился с мануалом и техническим руководством к Space. Не знает где посмотреть backlog и другие функции,"0,3",33,Всего
5,"Шаблоны проектирования, расскажи какие ты знаешь (виды шаблонов: порождающие, структурные, поведенческие)",Общие вопросы,Соискатель не смог рассказать подробнее про шаблоны. Перечислил их название,"0,3",21,
6,Как в JS создать объект? создай в IDE,Основы JS,"Ответ не полный. Указан ""объектный литерал"", не указаны ""функция-конструктор"" и метод ""Object.create""","0,6",,
7,Что такое асинхронный код JS? И что такое синхронный код? показать пример в IDE,Основы JS,Ответ верный,1,,
8,Какие приемы работы с асинхронным кодом в JS ты знаешь?,Основы JS,Ответ верный,1,,
9,"Визуальный вопрос. const emp = new Employee('Voltov Ilya', 'Software Development', 2021) //что здесь делает new?",Основы JS,Ответ верный,1,,
10,Какие ты знаешь модели ветвления в Git? опиши их,GIT,Ответ был озвучен интервьюером,"0,3",,
11,"Каким образом можно установить было ли слияние ветки в master/main? с помощью команды в терминале, показать",GIT,Команда git branch —merged не была названа. Вопрос предпологал работу в терминале,"0,3",,
12,"Что такое merge request?
",GIT,Ответ не полный,"0,6",,
13,"Визуальный вопрос.Ситуация: был выполнен merge request временных веток с dev, а dev после этого с main. После деплоя проекта с ветки main в консоли разработчика мы видим такое сообщение. В чем ошибка? Что было сделано не так?",GIT,Ответ верный,1,,
14,Сделать merge request двух веток на подготовленном примере в space (репозиторий: clustering_UR_data_words). что такое rebase? что тут лучше сделать merge или rebase?,GIT,Ответ не полный. Практическая часть не выполнена. Отличие merge и rebase названы с помощью интервьюера ,"0,3",,
15,Что такое “staging area” или “index” в Git ?,GIT,Соискатель ответил про “index”. Ответа про “staging area” не было,"0,6",,
16,Принципы построения rest full api (какие бывают виды api? и др.),Основы сетей и протоколов,Ответа нет. Слабое понимание темы,0,,
17,Каковы принципы REST?,Основы сетей и протоколов,Слабое понимание темы. Ответ с помощью диалога с интервьюером,"0,3",,
18,"Как происходит процесс авторизации в проекте УПЭ? покажи данные скрипты в репозитории, расскажи логику",Основы сетей и протоколов,Ответ верный,1,,
19,Как работает OAuth v2? ,Основы сетей и протоколов,Ответа нет,0,,
20,"Что такое 400, 500 ошибки в ответах на запросы? почему они возникают? привести из жизни пример",Основы сетей и протоколов,Ответ не полный. Нет понимания что такое коды состояния HTTP,"0,6",,
21,Расскажи подробно о работе HTTPS,Основы сетей и протоколов,Ответ не полный. Слабое понимание темы,"0,3",,
22,Расскажи о пирамиде тестирования,Testing pyramid,Ответа нет,0,,
23,Что такое unit-тесты? Какое место в пирамиде тестирования занимают unit-тесты?,Testing pyramid,Ответ не полный. Слабое понимание темы,"0,3",,
24,Практический вопрос. Написать unit test на проверку формата данных.,Testing pyramid,Ответа нет,0,,
25,Какие итерации ты знаешь по массиву? ,Java Script,Ответ верный,1,,
26,Какая из итераций по массиву самая эффиктивная по времени?,Java Script,Был обозначен не верный ответ. С помощью интервьюеров соискатель изменил свое решение,"0,3",,
27,Какие виды сортировки есть?,Java Script,Перечислены виды сортировки,"0,6",,
28,В чем разница между state & props?,Java Script,Ответ верный,1,,
29,Объясни своми слование что такое HOC,Java Script,Ответ верный,1,,
30,Что такое refs в react и когда их использовать?,Java Script,Ответ верный,1,,
31,Как встроить два или более компонентов в один компонент?,Java Script,Соискатель долго решал данную задачу (использовал stack overflow),"0,6",,
32,"Практический вопрос. User ввводит слово ""open sesame"" - выскакивает алертное окно с надписью ""Сезам открылся""",Java Script,Соискатель долго решал данную задачу (использовал stack overflow),1,,
33,Рассказать про пет-проект,дополнительный вопрос,Неполноценное понимание back-end проекта,1,,